,tokenized_sentences,len,word_tokens,lower,no_punc,stopwords_removed,pos_tags
1897,"But when Telphusa saw this, she was
angry in heart and spoke, saying: ‘Lord Phoebus, worker from afar, I
will speak a word of counsel to your heart, since you are minded to
make here a glorious temple to be an oracle for men who will always
bring hither perfect hecatombs for you; yet I will speak out, and do
you lay up my words in your heart.",344,"['But', 'when', 'Telphusa', 'saw', 'this', ',', 'she', 'was', 'angry', 'in', 'heart', 'and', 'spoke', ',', 'saying', ':', '‘', 'Lord', 'Phoebus', ',', 'worker', 'from', 'afar', ',', 'I', 'will', 'speak', 'a', 'word', 'of', 'counsel', 'to', 'your', 'heart', ',', 'since', 'you', 'are', 'minded', 'to', 'make', 'here', 'a', 'glorious', 'temple', 'to', 'be', 'an', 'oracle', 'for', 'men', 'who', 'will', 'always', 'bring', 'hither', 'perfect', 'hecatombs', 'for', 'you', ';', 'yet', 'I', 'will', 'speak', 'out', ',', 'and', 'do', 'you', 'lay', 'up', 'my', 'words', 'in', 'your', 'heart', '.']","['but', 'when', 'telphusa', 'saw', 'this', ',', 'she', 'was', 'angry', 'in', 'heart', 'and', 'spoke', ',', 'saying', ':', '‘', 'lord', 'phoebus', ',', 'worker', 'from', 'afar', ',', 'i', 'will', 'speak', 'a', 'word', 'of', 'counsel', 'to', 'your', 'heart', ',', 'since', 'you', 'are', 'minded', 'to', 'make', 'here', 'a', 'glorious', 'temple', 'to', 'be', 'an', 'oracle', 'for', 'men', 'who', 'will', 'always', 'bring', 'hither', 'perfect', 'hecatombs', 'for', 'you', ';', 'yet', 'i', 'will', 'speak', 'out', ',', 'and', 'do', 'you', 'lay', 'up', 'my', 'words', 'in', 'your', 'heart', '.']","['but', 'when', 'telphusa', 'saw', 'this', 'she', 'was', 'angry', 'in', 'heart', 'and', 'spoke', 'saying', '‘', 'lord', 'phoebus', 'worker', 'from', 'afar', 'i', 'will', 'speak', 'a', 'word', 'of', 'counsel', 'to', 'your', 'heart', 'since', 'you', 'are', 'minded', 'to', 'make', 'here', 'a', 'glorious', 'temple', 'to', 'be', 'an', 'oracle', 'for', 'men', 'who', 'will', 'always', 'bring', 'hither', 'perfect', 'hecatombs', 'for', 'you', 'yet', 'i', 'will', 'speak', 'out', 'and', 'do', 'you', 'lay', 'up', 'my', 'words', 'in', 'your', 'heart']","['telphusa', 'saw', 'angry', 'heart', 'spoke', 'saying', '‘', 'lord', 'phoebus', 'worker', 'afar', 'speak', 'word', 'counsel', 'heart', 'since', 'minded', 'make', 'glorious', 'temple', 'oracle', 'men', 'always', 'bring', 'hither', 'perfect', 'hecatombs', 'yet', 'speak', 'lay', 'words', 'heart']","[('telphusa', 'NN'), ('saw', 'VBD'), ('angry', 'JJ'), ('heart', 'NN'), ('spoke', 'VBD'), ('saying', 'VBG'), ('‘', 'NNP'), ('lord', 'NN'), ('phoebus', 'NN'), ('worker', 'NN'), ('afar', 'VBZ'), ('speak', 'JJ'), ('word', 'NN'), ('counsel', 'NN'), ('heart', 'NN'), ('since', 'IN'), ('minded', 'VBN'), ('make', 'VBP'), ('glorious', 'JJ'), ('temple', 'JJ'), ('oracle', 'NN'), ('men', 'NNS'), ('always', 'RB'), ('bring', 'VBP'), ('hither', 'PRP'), ('perfect', 'JJ'), ('hecatombs', 'NN'), ('yet', 'RB'), ('speak', 'JJ'), ('lay', 'NN'), ('words', 'NNS'), ('heart', 'NN')]"
1898,"The trampling of swift horses and
the sound of mules watering at my sacred springs will always irk you,
and men will like better to gaze at the well-made chariots and
stamping, swift-footed horses than at your great temple and the many
treasures that are within.",262,"['The', 'trampling', 'of', 'swift', 'horses', 'and', 'the', 'sound', 'of', 'mules', 'watering', 'at', 'my', 'sacred', 'springs', 'will', 'always', 'irk', 'you', ',', 'and', 'men', 'will', 'like', 'better', 'to', 'gaze', 'at', 'the', 'well-made', 'chariots', 'and', 'stamping', ',', 'swift-footed', 'horses', 'than', 'at', 'your', 'great', 'temple', 'and', 'the', 'many', 'treasures', 'that', 'are', 'within', '.']","['the', 'trampling', 'of', 'swift', 'horses', 'and', 'the', 'sound', 'of', 'mules', 'watering', 'at', 'my', 'sacred', 'springs', 'will', 'always', 'irk', 'you', ',', 'and', 'men', 'will', 'like', 'better', 'to', 'gaze', 'at', 'the', 'well-made', 'chariots', 'and', 'stamping', ',', 'swift-footed', 'horses', 'than', 'at', 'your', 'great', 'temple', 'and', 'the', 'many', 'treasures', 'that', 'are', 'within', '.']","['the', 'trampling', 'of', 'swift', 'horses', 'and', 'the', 'sound', 'of', 'mules', 'watering', 'at', 'my', 'sacred', 'springs', 'will', 'always', 'irk', 'you', 'and', 'men', 'will', 'like', 'better', 'to', 'gaze', 'at', 'the', 'well-made', 'chariots', 'and', 'stamping', 'swift-footed', 'horses', 'than', 'at', 'your', 'great', 'temple', 'and', 'the', 'many', 'treasures', 'that', 'are', 'within']","['trampling', 'swift', 'horses', 'sound', 'mules', 'watering', 'sacred', 'springs', 'always', 'irk', 'men', 'like', 'better', 'gaze', 'well-made', 'chariots', 'stamping', 'swift-footed', 'horses', 'great', 'temple', 'many', 'treasures', 'within']","[('trampling', 'VBG'), ('swift', 'JJ'), ('horses', 'NNS'), ('sound', 'JJ'), ('mules', 'NNS'), ('watering', 'VBG'), ('sacred', 'JJ'), ('springs', 'NNS'), ('always', 'RB'), ('irk', 'VBP'), ('men', 'NNS'), ('like', 'IN'), ('better', 'JJR'), ('gaze', 'NN'), ('well-made', 'JJ'), ('chariots', 'NNS'), ('stamping', 'VBG'), ('swift-footed', 'JJ'), ('horses', 'NNS'), ('great', 'JJ'), ('temple', 'JJ'), ('many', 'JJ'), ('treasures', 'NNS'), ('within', 'IN')]"
1899,"But if you will be moved by me—for you,
lord, are stronger and mightier than I, and your strength is very
great—build at Crisa below the glades of Parnassus: there no bright
chariot will clash, and there will be no noise of swift-footed horses
near your well-built altar.",271,"['But', 'if', 'you', 'will', 'be', 'moved', 'by', 'me—for', 'you', ',', 'lord', ',', 'are', 'stronger', 'and', 'mightier', 'than', 'I', ',', 'and', 'your', 'strength', 'is', 'very', 'great—build', 'at', 'Crisa', 'below', 'the', 'glades', 'of', 'Parnassus', ':', 'there', 'no', 'bright', 'chariot', 'will', 'clash', ',', 'and', 'there', 'will', 'be', 'no', 'noise', 'of', 'swift-footed', 'horses', 'near', 'your', 'well-built', 'altar', '.']","['but', 'if', 'you', 'will', 'be', 'moved', 'by', 'me—for', 'you', ',', 'lord', ',', 'are', 'stronger', 'and', 'mightier', 'than', 'i', ',', 'and', 'your', 'strength', 'is', 'very', 'great—build', 'at', 'crisa', 'below', 'the', 'glades', 'of', 'parnassus', ':', 'there', 'no', 'bright', 'chariot', 'will', 'clash', ',', 'and', 'there', 'will', 'be', 'no', 'noise', 'of', 'swift-footed', 'horses', 'near', 'your', 'well-built', 'altar', '.']","['but', 'if', 'you', 'will', 'be', 'moved', 'by', 'me—for', 'you', 'lord', 'are', 'stronger', 'and', 'mightier', 'than', 'i', 'and', 'your', 'strength', 'is', 'very', 'great—build', 'at', 'crisa', 'below', 'the', 'glades', 'of', 'parnassus', 'there', 'no', 'bright', 'chariot', 'will', 'clash', 'and', 'there', 'will', 'be', 'no', 'noise', 'of', 'swift-footed', 'horses', 'near', 'your', 'well-built', 'altar']","['moved', 'me—for', 'lord', 'stronger', 'mightier', 'strength', 'great—build', 'crisa', 'glades', 'parnassus', 'bright', 'chariot', 'clash', 'noise', 'swift-footed', 'horses', 'near', 'well-built', 'altar']","[('moved', 'VBN'), ('me—for', 'JJ'), ('lord', 'NN'), ('stronger', 'JJR'), ('mightier', 'JJR'), ('strength', 'NN'), ('great—build', 'NN'), ('crisa', 'NN'), ('glades', 'NNS'), ('parnassus', 'VBP'), ('bright', 'JJ'), ('chariot', 'NN'), ('clash', 'NN'), ('noise', 'NN'), ('swift-footed', 'JJ'), ('horses', 'NNS'), ('near', 'IN'), ('well-built', 'JJ'), ('altar', 'NN')]"
1900,"But so the glorious tribes of men will
bring gifts to you as Iepaeon (‘Hail-Healer’), and you will receive
with delight rich sacrifices from the people dwelling round about.’ So
said Telphusa, that she alone, and not the Far-Shooter, should have
renown there; and she persuaded the Far-Shooter.",294,"['But', 'so', 'the', 'glorious', 'tribes', 'of', 'men', 'will', 'bring', 'gifts', 'to', 'you', 'as', 'Iepaeon', '(', '‘', 'Hail-Healer', '’', ')', ',', 'and', 'you', 'will', 'receive', 'with', 'delight', 'rich', 'sacrifices', 'from', 'the', 'people', 'dwelling', 'round', 'about.', '’', 'So', 'said', 'Telphusa', ',', 'that', 'she', 'alone', ',', 'and', 'not', 'the', 'Far-Shooter', ',', 'should', 'have', 'renown', 'there', ';', 'and', 'she', 'persuaded', 'the', 'Far-Shooter', '.']","['but', 'so', 'the', 'glorious', 'tribes', 'of', 'men', 'will', 'bring', 'gifts', 'to', 'you', 'as', 'iepaeon', '(', '‘', 'hail-healer', '’', ')', ',', 'and', 'you', 'will', 'receive', 'with', 'delight', 'rich', 'sacrifices', 'from', 'the', 'people', 'dwelling', 'round', 'about.', '’', 'so', 'said', 'telphusa', ',', 'that', 'she', 'alone', ',', 'and', 'not', 'the', 'far-shooter', ',', 'should', 'have', 'renown', 'there', ';', 'and', 'she', 'persuaded', 'the', 'far-shooter', '.']","['but', 'so', 'the', 'glorious', 'tribes', 'of', 'men', 'will', 'bring', 'gifts', 'to', 'you', 'as', 'iepaeon', '‘', 'hail-healer', '’', 'and', 'you', 'will', 'receive', 'with', 'delight', 'rich', 'sacrifices', 'from', 'the', 'people', 'dwelling', 'round', 'about.', '’', 'so', 'said', 'telphusa', 'that', 'she', 'alone', 'and', 'not', 'the', 'far-shooter', 'should', 'have', 'renown', 'there', 'and', 'she', 'persuaded', 'the', 'far-shooter']","['glorious', 'tribes', 'men', 'bring', 'gifts', 'iepaeon', '‘', 'hail-healer', '’', 'receive', 'delight', 'rich', 'sacrifices', 'people', 'dwelling', 'round', 'about.', '’', 'said', 'telphusa', 'alone', 'far-shooter', 'renown', 'persuaded', 'far-shooter']","[('glorious', 'JJ'), ('tribes', 'NNS'), ('men', 'NNS'), ('bring', 'VBP'), ('gifts', 'NNS'), ('iepaeon', 'JJ'), ('‘', 'JJ'), ('hail-healer', 'NN'), ('’', 'NNP'), ('receive', 'NN'), ('delight', 'NN'), ('rich', 'JJ'), ('sacrifices', 'NNS'), ('people', 'NNS'), ('dwelling', 'VBG'), ('round', 'NN'), ('about.', 'NN'), ('’', 'NNP'), ('said', 'VBD'), ('telphusa', 'JJ'), ('alone', 'RB'), ('far-shooter', 'JJ'), ('renown', 'NN'), ('persuaded', 'VBD'), ('far-shooter', 'NN')]"
1901,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
1902,"277-286) Further yet you went, far-shooting Apollo, until you came
to the town of the presumptuous Phlegyae who dwell on this earth in a
lovely glade near the Cephisian lake, caring not for Zeus.",195,"['277-286', ')', 'Further', 'yet', 'you', 'went', ',', 'far-shooting', 'Apollo', ',', 'until', 'you', 'came', 'to', 'the', 'town', 'of', 'the', 'presumptuous', 'Phlegyae', 'who', 'dwell', 'on', 'this', 'earth', 'in', 'a', 'lovely', 'glade', 'near', 'the', 'Cephisian', 'lake', ',', 'caring', 'not', 'for', 'Zeus', '.']","['277-286', ')', 'further', 'yet', 'you', 'went', ',', 'far-shooting', 'apollo', ',', 'until', 'you', 'came', 'to', 'the', 'town', 'of', 'the', 'presumptuous', 'phlegyae', 'who', 'dwell', 'on', 'this', 'earth', 'in', 'a', 'lovely', 'glade', 'near', 'the', 'cephisian', 'lake', ',', 'caring', 'not', 'for', 'zeus', '.']","['277-286', 'further', 'yet', 'you', 'went', 'far-shooting', 'apollo', 'until', 'you', 'came', 'to', 'the', 'town', 'of', 'the', 'presumptuous', 'phlegyae', 'who', 'dwell', 'on', 'this', 'earth', 'in', 'a', 'lovely', 'glade', 'near', 'the', 'cephisian', 'lake', 'caring', 'not', 'for', 'zeus']","['277-286', 'yet', 'went', 'far-shooting', 'apollo', 'came', 'town', 'presumptuous', 'phlegyae', 'dwell', 'earth', 'lovely', 'glade', 'near', 'cephisian', 'lake', 'caring', 'zeus']","[('277-286', 'JJ'), ('yet', 'RB'), ('went', 'VBD'), ('far-shooting', 'JJ'), ('apollo', 'NN'), ('came', 'VBD'), ('town', 'NN'), ('presumptuous', 'JJ'), ('phlegyae', 'NN'), ('dwell', 'NN'), ('earth', 'NN'), ('lovely', 'RB'), ('glade', 'VBD'), ('near', 'IN'), ('cephisian', 'JJ'), ('lake', 'NN'), ('caring', 'NN'), ('zeus', 'NN')]"
1903,"And thence
you went speeding swiftly to the mountain ridge, and came to Crisa
beneath snowy Parnassus, a foothill turned towards the west: a cliff
hangs over it from above, and a hollow, rugged glade runs under.",211,"['And', 'thence', 'you', 'went', 'speeding', 'swiftly', 'to', 'the', 'mountain', 'ridge', ',', 'and', 'came', 'to', 'Crisa', 'beneath', 'snowy', 'Parnassus', ',', 'a', 'foothill', 'turned', 'towards', 'the', 'west', ':', 'a', 'cliff', 'hangs', 'over', 'it', 'from', 'above', ',', 'and', 'a', 'hollow', ',', 'rugged', 'glade', 'runs', 'under', '.']","['and', 'thence', 'you', 'went', 'speeding', 'swiftly', 'to', 'the', 'mountain', 'ridge', ',', 'and', 'came', 'to', 'crisa', 'beneath', 'snowy', 'parnassus', ',', 'a', 'foothill', 'turned', 'towards', 'the', 'west', ':', 'a', 'cliff', 'hangs', 'over', 'it', 'from', 'above', ',', 'and', 'a', 'hollow', ',', 'rugged', 'glade', 'runs', 'under', '.']","['and', 'thence', 'you', 'went', 'speeding', 'swiftly', 'to', 'the', 'mountain', 'ridge', 'and', 'came', 'to', 'crisa', 'beneath', 'snowy', 'parnassus', 'a', 'foothill', 'turned', 'towards', 'the', 'west', 'a', 'cliff', 'hangs', 'over', 'it', 'from', 'above', 'and', 'a', 'hollow', 'rugged', 'glade', 'runs', 'under']","['thence', 'went', 'speeding', 'swiftly', 'mountain', 'ridge', 'came', 'crisa', 'beneath', 'snowy', 'parnassus', 'foothill', 'turned', 'towards', 'west', 'cliff', 'hangs', 'hollow', 'rugged', 'glade', 'runs']","[('thence', 'NN'), ('went', 'VBD'), ('speeding', 'VBG'), ('swiftly', 'RB'), ('mountain', 'VBP'), ('ridge', 'NN'), ('came', 'VBD'), ('crisa', 'JJ'), ('beneath', 'NN'), ('snowy', 'NN'), ('parnassus', 'NN'), ('foothill', 'NN'), ('turned', 'VBD'), ('towards', 'NNS'), ('west', 'JJS'), ('cliff', 'JJ'), ('hangs', 'NNS'), ('hollow', 'VBP'), ('rugged', 'VBN'), ('glade', 'NN'), ('runs', 'NNS')]"
1904,"There
the lord Phoebus Apollo resolved to make his lovely temple, and thus he
said:

(ll.",89,"['There', 'the', 'lord', 'Phoebus', 'Apollo', 'resolved', 'to', 'make', 'his', 'lovely', 'temple', ',', 'and', 'thus', 'he', 'said', ':', '(', 'll', '.']","['there', 'the', 'lord', 'phoebus', 'apollo', 'resolved', 'to', 'make', 'his', 'lovely', 'temple', ',', 'and', 'thus', 'he', 'said', ':', '(', 'll', '.']","['there', 'the', 'lord', 'phoebus', 'apollo', 'resolved', 'to', 'make', 'his', 'lovely', 'temple', 'and', 'thus', 'he', 'said', 'll']","['lord', 'phoebus', 'apollo', 'resolved', 'make', 'lovely', 'temple', 'thus', 'said']","[('lord', 'NN'), ('phoebus', 'NN'), ('apollo', 'VBZ'), ('resolved', 'VBN'), ('make', 'VB'), ('lovely', 'JJ'), ('temple', 'JJ'), ('thus', 'RB'), ('said', 'VBD')]"
1905,"287-293) ‘In this place I am minded to build a glorious temple to
be an oracle for men, and here they will always bring perfect
hecatombs, both they who dwell in rich Peloponnesus and the men of
Europe and from all the wave-washed isles, coming to question me.",260,"['287-293', ')', '‘', 'In', 'this', 'place', 'I', 'am', 'minded', 'to', 'build', 'a', 'glorious', 'temple', 'to', 'be', 'an', 'oracle', 'for', 'men', ',', 'and', 'here', 'they', 'will', 'always', 'bring', 'perfect', 'hecatombs', ',', 'both', 'they', 'who', 'dwell', 'in', 'rich', 'Peloponnesus', 'and', 'the', 'men', 'of', 'Europe', 'and', 'from', 'all', 'the', 'wave-washed', 'isles', ',', 'coming', 'to', 'question', 'me', '.']","['287-293', ')', '‘', 'in', 'this', 'place', 'i', 'am', 'minded', 'to', 'build', 'a', 'glorious', 'temple', 'to', 'be', 'an', 'oracle', 'for', 'men', ',', 'and', 'here', 'they', 'will', 'always', 'bring', 'perfect', 'hecatombs', ',', 'both', 'they', 'who', 'dwell', 'in', 'rich', 'peloponnesus', 'and', 'the', 'men', 'of', 'europe', 'and', 'from', 'all', 'the', 'wave-washed', 'isles', ',', 'coming', 'to', 'question', 'me', '.']","['287-293', '‘', 'in', 'this', 'place', 'i', 'am', 'minded', 'to', 'build', 'a', 'glorious', 'temple', 'to', 'be', 'an', 'oracle', 'for', 'men', 'and', 'here', 'they', 'will', 'always', 'bring', 'perfect', 'hecatombs', 'both', 'they', 'who', 'dwell', 'in', 'rich', 'peloponnesus', 'and', 'the', 'men', 'of', 'europe', 'and', 'from', 'all', 'the', 'wave-washed', 'isles', 'coming', 'to', 'question', 'me']","['287-293', '‘', 'place', 'minded', 'build', 'glorious', 'temple', 'oracle', 'men', 'always', 'bring', 'perfect', 'hecatombs', 'dwell', 'rich', 'peloponnesus', 'men', 'europe', 'wave-washed', 'isles', 'coming', 'question']","[('287-293', 'JJ'), ('‘', 'JJ'), ('place', 'NN'), ('minded', 'VBD'), ('build', 'RB'), ('glorious', 'JJ'), ('temple', 'JJ'), ('oracle', 'NN'), ('men', 'NNS'), ('always', 'RB'), ('bring', 'VBP'), ('perfect', 'JJ'), ('hecatombs', 'NN'), ('dwell', 'NN'), ('rich', 'JJ'), ('peloponnesus', 'NN'), ('men', 'NNS'), ('europe', 'VBP'), ('wave-washed', 'JJ'), ('isles', 'NNS'), ('coming', 'VBG'), ('question', 'NN')]"
1906,"And I
will deliver to them all counsel that cannot fail, answering them in my
rich temple.’

(ll.",97,"['And', 'I', 'will', 'deliver', 'to', 'them', 'all', 'counsel', 'that', 'can', 'not', 'fail', ',', 'answering', 'them', 'in', 'my', 'rich', 'temple.', '’', '(', 'll', '.']","['and', 'i', 'will', 'deliver', 'to', 'them', 'all', 'counsel', 'that', 'can', 'not', 'fail', ',', 'answering', 'them', 'in', 'my', 'rich', 'temple.', '’', '(', 'll', '.']","['and', 'i', 'will', 'deliver', 'to', 'them', 'all', 'counsel', 'that', 'can', 'not', 'fail', 'answering', 'them', 'in', 'my', 'rich', 'temple.', '’', 'll']","['deliver', 'counsel', 'fail', 'answering', 'rich', 'temple.', '’']","[('deliver', 'RB'), ('counsel', 'NN'), ('fail', 'NN'), ('answering', 'VBG'), ('rich', 'JJ'), ('temple.', 'NN'), ('’', 'NN')]"
1907,"294-299) When he had said this, Phoebus Apollo laid out all the
foundations throughout, wide and very long; and upon these the sons of
Erginus, Trophonius and Agamedes, dear to the deathless gods, laid a
footing of stone.",221,"['294-299', ')', 'When', 'he', 'had', 'said', 'this', ',', 'Phoebus', 'Apollo', 'laid', 'out', 'all', 'the', 'foundations', 'throughout', ',', 'wide', 'and', 'very', 'long', ';', 'and', 'upon', 'these', 'the', 'sons', 'of', 'Erginus', ',', 'Trophonius', 'and', 'Agamedes', ',', 'dear', 'to', 'the', 'deathless', 'gods', ',', 'laid', 'a', 'footing', 'of', 'stone', '.']","['294-299', ')', 'when', 'he', 'had', 'said', 'this', ',', 'phoebus', 'apollo', 'laid', 'out', 'all', 'the', 'foundations', 'throughout', ',', 'wide', 'and', 'very', 'long', ';', 'and', 'upon', 'these', 'the', 'sons', 'of', 'erginus', ',', 'trophonius', 'and', 'agamedes', ',', 'dear', 'to', 'the', 'deathless', 'gods', ',', 'laid', 'a', 'footing', 'of', 'stone', '.']","['294-299', 'when', 'he', 'had', 'said', 'this', 'phoebus', 'apollo', 'laid', 'out', 'all', 'the', 'foundations', 'throughout', 'wide', 'and', 'very', 'long', 'and', 'upon', 'these', 'the', 'sons', 'of', 'erginus', 'trophonius', 'and', 'agamedes', 'dear', 'to', 'the', 'deathless', 'gods', 'laid', 'a', 'footing', 'of', 'stone']","['294-299', 'said', 'phoebus', 'apollo', 'laid', 'foundations', 'throughout', 'wide', 'long', 'upon', 'sons', 'erginus', 'trophonius', 'agamedes', 'dear', 'deathless', 'gods', 'laid', 'footing', 'stone']","[('294-299', 'CD'), ('said', 'VBD'), ('phoebus', 'NN'), ('apollo', 'NN'), ('laid', 'VBD'), ('foundations', 'NNS'), ('throughout', 'IN'), ('wide', 'JJ'), ('long', 'JJ'), ('upon', 'IN'), ('sons', 'NNS'), ('erginus', 'VBP'), ('trophonius', 'JJ'), ('agamedes', 'NNS'), ('dear', 'VBP'), ('deathless', 'JJ'), ('gods', 'NNS'), ('laid', 'VBD'), ('footing', 'VBG'), ('stone', 'NN')]"
1908,"And the countless tribes of men built the whole
temple of wrought stones, to be sung of for ever.",97,"['And', 'the', 'countless', 'tribes', 'of', 'men', 'built', 'the', 'whole', 'temple', 'of', 'wrought', 'stones', ',', 'to', 'be', 'sung', 'of', 'for', 'ever', '.']","['and', 'the', 'countless', 'tribes', 'of', 'men', 'built', 'the', 'whole', 'temple', 'of', 'wrought', 'stones', ',', 'to', 'be', 'sung', 'of', 'for', 'ever', '.']","['and', 'the', 'countless', 'tribes', 'of', 'men', 'built', 'the', 'whole', 'temple', 'of', 'wrought', 'stones', 'to', 'be', 'sung', 'of', 'for', 'ever']","['countless', 'tribes', 'men', 'built', 'whole', 'temple', 'wrought', 'stones', 'sung', 'ever']","[('countless', 'NN'), ('tribes', 'NNS'), ('men', 'NNS'), ('built', 'VBN'), ('whole', 'JJ'), ('temple', 'NN'), ('wrought', 'JJ'), ('stones', 'NNS'), ('sung', 'VBD'), ('ever', 'RB')]"
1909,(ll.,4,"['(', 'll', '.']","['(', 'll', '.']",['ll'],[],[]
1910,"300-310) But near by was a sweet flowing spring, and there with
his strong bow the lord, the son of Zeus, killed the bloated, great
she-dragon, a fierce monster wont to do great mischief to men upon
earth, to men themselves and to their thin-shanked sheep; for she was a
very bloody plague.",290,"['300-310', ')', 'But', 'near', 'by', 'was', 'a', 'sweet', 'flowing', 'spring', ',', 'and', 'there', 'with', 'his', 'strong', 'bow', 'the', 'lord', ',', 'the', 'son', 'of', 'Zeus', ',', 'killed', 'the', 'bloated', ',', 'great', 'she-dragon', ',', 'a', 'fierce', 'monster', 'wont', 'to', 'do', 'great', 'mischief', 'to', 'men', 'upon', 'earth', ',', 'to', 'men', 'themselves', 'and', 'to', 'their', 'thin-shanked', 'sheep', ';', 'for', 'she', 'was', 'a', 'very', 'bloody', 'plague', '.']","['300-310', ')', 'but', 'near', 'by', 'was', 'a', 'sweet', 'flowing', 'spring', ',', 'and', 'there', 'with', 'his', 'strong', 'bow', 'the', 'lord', ',', 'the', 'son', 'of', 'zeus', ',', 'killed', 'the', 'bloated', ',', 'great', 'she-dragon', ',', 'a', 'fierce', 'monster', 'wont', 'to', 'do', 'great', 'mischief', 'to', 'men', 'upon', 'earth', ',', 'to', 'men', 'themselves', 'and', 'to', 'their', 'thin-shanked', 'sheep', ';', 'for', 'she', 'was', 'a', 'very', 'bloody', 'plague', '.']","['300-310', 'but', 'near', 'by', 'was', 'a', 'sweet', 'flowing', 'spring', 'and', 'there', 'with', 'his', 'strong', 'bow', 'the', 'lord', 'the', 'son', 'of', 'zeus', 'killed', 'the', 'bloated', 'great', 'she-dragon', 'a', 'fierce', 'monster', 'wont', 'to', 'do', 'great', 'mischief', 'to', 'men', 'upon', 'earth', 'to', 'men', 'themselves', 'and', 'to', 'their', 'thin-shanked', 'sheep', 'for', 'she', 'was', 'a', 'very', 'bloody', 'plague']","['300-310', 'near', 'sweet', 'flowing', 'spring', 'strong', 'bow', 'lord', 'son', 'zeus', 'killed', 'bloated', 'great', 'she-dragon', 'fierce', 'monster', 'wont', 'great', 'mischief', 'men', 'upon', 'earth', 'men', 'thin-shanked', 'sheep', 'bloody', 'plague']","[('300-310', 'JJ'), ('near', 'IN'), ('sweet', 'JJ'), ('flowing', 'VBG'), ('spring', 'NN'), ('strong', 'JJ'), ('bow', 'NN'), ('lord', 'NN'), ('son', 'NN'), ('zeus', 'NN'), ('killed', 'VBD'), ('bloated', 'JJ'), ('great', 'JJ'), ('she-dragon', 'JJ'), ('fierce', 'NN'), ('monster', 'NN'), ('wont', 'NN'), ('great', 'JJ'), ('mischief', 'JJ'), ('men', 'NNS'), ('upon', 'IN'), ('earth', 'JJ'), ('men', 'NNS'), ('thin-shanked', 'JJ'), ('sheep', 'NN'), ('bloody', 'NN'), ('plague', 'NN')]"
1911,"She it was who once received from gold-throned Hera
and brought up fell, cruel Typhaon to be a plague to men.",109,"['She', 'it', 'was', 'who', 'once', 'received', 'from', 'gold-throned', 'Hera', 'and', 'brought', 'up', 'fell', ',', 'cruel', 'Typhaon', 'to', 'be', 'a', 'plague', 'to', 'men', '.']","['she', 'it', 'was', 'who', 'once', 'received', 'from', 'gold-throned', 'hera', 'and', 'brought', 'up', 'fell', ',', 'cruel', 'typhaon', 'to', 'be', 'a', 'plague', 'to', 'men', '.']","['she', 'it', 'was', 'who', 'once', 'received', 'from', 'gold-throned', 'hera', 'and', 'brought', 'up', 'fell', 'cruel', 'typhaon', 'to', 'be', 'a', 'plague', 'to', 'men']","['received', 'gold-throned', 'hera', 'brought', 'fell', 'cruel', 'typhaon', 'plague', 'men']","[('received', 'VBN'), ('gold-throned', 'JJ'), ('hera', 'NN'), ('brought', 'NN'), ('fell', 'VBD'), ('cruel', 'RB'), ('typhaon', 'JJ'), ('plague', 'NN'), ('men', 'NNS')]"
1912,"Once on a
time Hera bare him because she was angry with father Zeus, when the Son
of Cronos bare all-glorious Athena in his head.",129,"['Once', 'on', 'a', 'time', 'Hera', 'bare', 'him', 'because', 'she', 'was', 'angry', 'with', 'father', 'Zeus', ',', 'when', 'the', 'Son', 'of', 'Cronos', 'bare', 'all-glorious', 'Athena', 'in', 'his', 'head', '.']","['once', 'on', 'a', 'time', 'hera', 'bare', 'him', 'because', 'she', 'was', 'angry', 'with', 'father', 'zeus', ',', 'when', 'the', 'son', 'of', 'cronos', 'bare', 'all-glorious', 'athena', 'in', 'his', 'head', '.']","['once', 'on', 'a', 'time', 'hera', 'bare', 'him', 'because', 'she', 'was', 'angry', 'with', 'father', 'zeus', 'when', 'the', 'son', 'of', 'cronos', 'bare', 'all-glorious', 'athena', 'in', 'his', 'head']","['time', 'hera', 'bare', 'angry', 'father', 'zeus', 'son', 'cronos', 'bare', 'all-glorious', 'athena', 'head']","[('time', 'NN'), ('hera', 'NN'), ('bare', 'NN'), ('angry', 'JJ'), ('father', 'NN'), ('zeus', 'NN'), ('son', 'NN'), ('cronos', 'NNS'), ('bare', 'VBP'), ('all-glorious', 'JJ'), ('athena', 'NNS'), ('head', 'NN')]"
1913,"Thereupon queenly Hera
was angry and spoke thus among the assembled gods:

(ll.",79,"['Thereupon', 'queenly', 'Hera', 'was', 'angry', 'and', 'spoke', 'thus', 'among', 'the', 'assembled', 'gods', ':', '(', 'll', '.']","['thereupon', 'queenly', 'hera', 'was', 'angry', 'and', 'spoke', 'thus', 'among', 'the', 'assembled', 'gods', ':', '(', 'll', '.']","['thereupon', 'queenly', 'hera', 'was', 'angry', 'and', 'spoke', 'thus', 'among', 'the', 'assembled', 'gods', 'll']","['thereupon', 'queenly', 'hera', 'angry', 'spoke', 'thus', 'among', 'assembled', 'gods']","[('thereupon', 'NN'), ('queenly', 'RB'), ('hera', 'VBD'), ('angry', 'JJ'), ('spoke', 'VBD'), ('thus', 'RB'), ('among', 'IN'), ('assembled', 'JJ'), ('gods', 'NNS')]"
